SERIE,GENERO,RANGO_EDAD,RANGO_SALARIAL,CATEGORIA,SEGMENTO_GRUPO_FAMILIAR,SEGMENTO_POBLACIONAL,PIRAMIDE_NUEVA,EMPRESA_FOCO,CIUDAD_AFILIADO,HOTELES,PISCILAGO,DROGUERIA,AGENCIAS,VIVIENDA
73653,F,20 a 35 años,Entre 1.5 y 2 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
73703,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
73753,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
73803,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,PI,ETA,EMP_000001,,NO,NO,SI,NO,NO
73853,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
73903,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
73953,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
74003,F,20 a 35 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
74053,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,MOSQUERA,NO,NO,SI,NO,NO
74103,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
74153,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
74203,M,20 a 35 años,Entre 6 y 8 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
74253,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
74303,F,20 a 35 años,Entre 6 y 8 SMLV,ZETA,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
74353,M,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
74403,F,20 a 35 años,Entre 3 y 4 SMLV,PI,RHO,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
74453,M,20 a 35 años,Entre 1.5 y 2 SMLV,PI,LAMBDA,ETA,LAMBDA,EMP_000001,,NO,NO,SI,NO,NO
74503,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
74553,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
74603,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
74653,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,XI,EMP_000001,,NO,NO,SI,NO,NO
74703,M,36 a 45 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
74753,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
74803,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
74853,M,36 a 45 años,Entre 3 y 4 SMLV,PI,CHI,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
74903,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,EPSILON,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
74953,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
75003,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
75053,M,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
75103,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
75153,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
75203,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,CHI,TAU,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
75253,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
75303,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,CHI,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
75353,F,36 a 45 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
75403,M,20 a 35 años,Menor al SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
75453,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,XI,EMP_000001,,NO,NO,SI,NO,NO
75503,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
75553,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
75603,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
75653,M,36 a 45 años,Entre 8 y 10 SMLV,ZETA,LAMBDA,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
75703,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
75753,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
75803,F,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
75853,F,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
75903,F,20 a 35 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
75953,M,36 a 45 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
76003,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
76053,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
76103,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,XI,EMP_000001,FUSAGASUGA,NO,NO,SI,NO,NO
76153,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000001,,NO,NO,SI,NO,NO
76203,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
76253,M,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
76303,M,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000002,,NO,NO,SI,NO,NO
76353,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
76403,M,20 a 35 años,Entre 6 y 8 SMLV,ZETA,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
76453,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
76503,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
76553,F,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
76603,F,20 a 35 años,Entre 4 y 6 SMLV,ZETA,RHO,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
76653,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
76703,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,CHI,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
76753,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
76803,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
76853,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
76903,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
76953,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
77003,M,20 a 35 años,Entre 3 y 4 SMLV,PI,RHO,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
77053,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
77103,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
77153,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
77203,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
77253,M,36 a 45 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
77303,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
77353,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
77403,F,20 a 35 años,Entre 6 y 8 SMLV,ZETA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
77453,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
77503,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
77553,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,OMEGA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
77603,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
77653,F,36 a 45 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
77703,M,20 a 35 años,,MU,THETA,OMEGA,OMICRON,EMP_000001,,NO,NO,SI,NO,NO
77753,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
77803,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
77853,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,PI,ETA,EMP_000001,,NO,NO,SI,NO,NO
77903,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
77953,M,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
78003,M,Menor de 19 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
78053,M,36 a 45 años,Entre 6 y 8 SMLV,ZETA,LAMBDA,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
78103,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
78153,F,20 a 35 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
78203,F,36 a 45 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
78253,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,FACATATIVA,NO,NO,SI,NO,NO
78303,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
78353,M,36 a 45 años,Entre 10 y 20 SMLV,ZETA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
78403,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,CHI,PI,XI,EMP_000001,,NO,NO,SI,NO,NO
78453,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
78503,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
78553,F,36 a 45 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
78603,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,PSI,EMP_000001,,NO,NO,SI,NO,NO
78653,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,OMEGA,EMP_000001,,NO,NO,SI,NO,NO
78703,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
78753,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,UPSILON,EMP_000001,SOACHA,NO,NO,SI,NO,NO
78803,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
78853,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
78903,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
78953,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
79003,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,OMEGA,EMP_000001,,NO,NO,SI,NO,NO
79053,F,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
79103,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
79153,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
79203,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000001,,NO,NO,SI,NO,NO
79253,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
79303,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
79353,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
79403,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
79453,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
79503,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
79553,F,36 a 45 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
79603,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
79653,M,36 a 45 años,Menor al SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
79703,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,RHO,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
79753,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,EPSILON,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
79803,M,36 a 45 años,Entre 3 y 4 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
79853,F,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
79903,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
79953,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
80003,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
80053,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
80103,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,CHI,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
80153,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
80203,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
80253,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
80303,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
80353,F,36 a 45 años,Menor al SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
80403,F,36 a 45 años,Menor al SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
80453,M,20 a 35 años,Entre 10 y 20 SMLV,ZETA,RHO,PI,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
80503,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
80553,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
80603,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
80653,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
80703,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
80753,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,XI,EMP_000002,,NO,NO,SI,NO,NO
80803,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
80853,F,36 a 45 años,Entre 1.5 y 2 SMLV,PI,IOTA,PI,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
80903,F,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
80953,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
81003,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81053,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
81103,M,20 a 35 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
81153,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,TABIO,NO,NO,SI,NO,NO
81203,M,36 a 45 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
81253,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81303,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81353,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
81403,M,20 a 35 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81453,F,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81503,F,36 a 45 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81553,M,36 a 45 años,Entre 6 y 8 SMLV,ZETA,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81603,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81653,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
81703,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81753,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,TAU,DELTA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
81803,F,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
81853,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,EPSILON,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
81903,F,36 a 45 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,DELTA,EMP_000001,,NO,NO,SI,NO,NO
81953,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,MOSQUERA,NO,NO,SI,NO,NO
82003,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,UPSILON,EMP_000001,MADRID,NO,NO,SI,NO,NO
82053,F,36 a 45 años,Entre 10 y 20 SMLV,ZETA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
82103,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
82153,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,THETA,TAU,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
82203,F,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
82253,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
82303,F,20 a 35 años,Entre 1 y 1.5 SMLV,PI,RHO,TAU,LAMBDA,EMP_000001,FUSAGASUGA,NO,NO,SI,NO,NO
82353,F,20 a 35 años,Entre 1 y 1.5 SMLV,PI,LAMBDA,ETA,LAMBDA,EMP_000001,,NO,NO,SI,NO,NO
82403,F,36 a 45 años,Entre 6 y 8 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
82453,M,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,CHI,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
82503,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
82553,F,20 a 35 años,Entre 20 y 30 SMLV,ZETA,LAMBDA,XI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
82603,M,36 a 45 años,Entre 10 y 20 SMLV,ZETA,EPSILON,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
82653,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
82703,M,36 a 45 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
